Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Matt Barnes,74,527,384,195,48,26,87,107,0,0,4,0,931.0,12.58
Andrew Bogut,27,79,218,49,13,25,0,43,0,0,0,0,339.5,12.57
Evan Turner,65,586,247,205,53,24,31,100,0,0,2,0,816.5,12.56
Kelly Olynyk,75,678,361,148,44,29,68,96,0,0,2,0,934.0,12.45
Alan Williams,47,346,292,23,27,32,0,37,0,0,15,0,584.0,12.43
Nick Young,60,791,138,58,37,14,170,36,0,0,0,0,742.5,12.38
Terrence Ross,78,858,206,88,87,33,142,68,0,0,0,0,966.0,12.38
DeMarre Carroll,72,638,275,74,81,27,109,54,0,0,2,0,886.5,12.31
Danny Green,68,497,224,124,70,57,118,76,0,0,0,0,833.5,12.26
John Henson,58,392,295,57,29,78,0,52,0,0,0,0,710.0,12.24
Zaza Pachulia,70,426,410,132,59,33,0,87,0,0,4,0,856.0,12.23
Tim Frazier,65,464,173,335,56,6,40,101,0,0,7,1,792.0,12.18
Garrett Temple,65,506,184,168,84,28,82,78,0,0,0,0,792.0,12.18
Marquese Chriss,82,753,348,60,67,70,72,108,0,0,3,0,989.5,12.07
Bojan Bogdanovic,81,1113,277,111,34,7,144,131,0,0,0,0,967.5,11.94
Brandon Ingram,79,740,316,166,50,36,55,116,0,0,0,0,935.5,11.84
Cory Joseph,80,740,235,265,66,13,48,108,0,0,1,0,945.0,11.81
Austin Rivers,74,889,161,204,48,10,111,115,0,0,0,0,866.0,11.7
Vince Carter,73,586,227,133,60,36,112,50,0,0,0,0,851.0,11.66
David Lee,79,576,441,124,31,40,0,82,0,0,7,0,920.0,11.65
Jeremy Lamb,62,603,264,75,27,23,41,40,0,0,1,0,722.0,11.65
Sergio Rodriguez,68,530,157,344,49,4,92,128,0,0,1,0,791.0,11.63
Brandon Jennings,81,577,196,395,70,4,79,128,0,0,3,0,942.0,11.63
Amir Johnson,80,520,366,140,51,62,27,77,0,0,0,0,928.5,11.61
JR Smith,41,351,113,62,40,11,95,26,0,0,0,0,474.0,11.56
Monta Ellis,74,630,204,236,78,27,43,135,0,0,0,0,851.5,11.51
Dewayne Dedmon,76,387,496,44,37,61,0,61,0,0,6,0,874.5,11.51
Nene,67,609,282,65,56,39,3,73,0,0,0,0,770.0,11.49
CJ Miles,76,815,229,48,46,25,169,40,0,0,0,0,871.0,11.46
Joe Ingles,82,581,261,225,96,8,123,107,0,0,0,0,939.0,11.45
Willie Cauley-Stein,75,611,339,80,53,44,0,69,0,0,8,0,857.5,11.43
Lucas Nogueira,57,253,244,42,52,89,3,46,0,0,0,0,650.0,11.4
Patty Mills,80,759,141,280,65,3,147,101,0,0,1,0,910.0,11.38
Allen Crabbe,79,845,226,94,54,20,134,62,0,0,0,0,895.5,11.34
Kyle Korver,67,678,186,110,34,21,162,69,0,0,0,0,757.0,11.3
Tony Parker,63,638,113,285,34,2,23,89,0,0,0,0,711.5,11.29
Solomon Hill,80,563,307,141,72,32,94,82,0,0,0,0,902.5,11.28
Jamal Crawford,82,1008,129,214,61,14,116,134,0,0,0,0,921.0,11.23
Channing Frye,74,676,290,45,33,37,137,53,0,0,2,0,830.5,11.22
Kosta Koufos,71,470,403,47,36,48,0,61,0,0,4,0,796.0,11.21
Patrick Patterson,65,445,293,76,40,23,94,38,0,0,1,0,727.5,11.19
Jerryd Bayless,3,33,12,13,0,0,2,9,0,0,0,0,33.5,11.17
Shawn Long,18,148,85,13,9,9,7,13,0,0,1,0,199.5,11.08
Marreese Speights,82,711,373,65,23,41,103,69,0,0,4,0,908.0,11.07
E'Twaun Moore,73,700,152,164,50,32,77,62,0,0,0,0,806.5,11.05
Spencer Dinwiddie,59,432,164,185,44,23,38,66,0,0,0,0,652.0,11.05
Nik Stauskas,80,756,226,188,45,32,132,128,0,0,0,0,884.0,11.05
Montrezl Harrell,58,527,219,64,20,42,1,44,0,0,3,0,630.0,10.86
Marco Belinelli,74,780,178,147,44,9,102,70,0,0,1,0,803.0,10.85
Skal Labissiere,33,289,162,27,16,13,3,37,0,0,2,0,358.0,10.85
Buddy Hield,82,866,269,121,38,9,148,101,0,0,0,0,890.0,10.85
Caris LeVert,57,468,188,110,49,8,59,59,0,0,0,0,616.5,10.82
Ian Mahinmi,31,173,150,19,33,24,0,34,0,0,0,0,335.5,10.82
Jamal Murray,82,811,214,170,51,24,115,113,0,0,1,0,885.0,10.79
Manu Ginobili,69,517,157,183,82,16,89,96,0,0,0,0,743.0,10.77
Joe Johnson,78,715,243,144,36,18,106,69,0,0,0,0,836.5,10.72
Michael Carter-Williams,45,297,153,113,38,23,15,66,0,0,0,0,478.0,10.62
Matthew Dellavedova,76,577,147,357,53,0,79,133,0,0,0,0,805.0,10.59
Tony Snell,80,683,248,96,55,14,144,55,0,0,1,0,841.5,10.52
Jordan Farmar,2,12,3,9,2,0,4,3,0,0,0,0,21.0,10.5
Ivica Zubac,38,284,159,30,14,33,0,30,0,0,4,0,399.0,10.5
Wayne Ellington,62,648,132,70,35,4,149,30,0,0,0,0,648.5,10.46
Justin Hamilton,64,442,262,55,29,43,55,43,0,0,1,0,667.5,10.43
Dwight Powell,77,516,306,49,61,39,21,34,0,0,2,0,791.5,10.28
Dante Cunningham,66,435,277,37,39,28,71,28,0,0,0,0,673.0,10.2
Jared Dudley,64,434,225,121,42,16,77,73,0,0,0,0,644.5,10.07
Brandon Knight,54,595,118,130,27,5,45,88,0,0,0,0,544.0,10.07
Michael Beasley,56,528,193,53,27,27,18,66,0,0,1,0,562.0,10.04
Iman Shumpert,76,567,218,109,62,27,94,78,0,0,0,0,757.5,9.97
Justin Holiday,82,629,225,102,65,31,97,66,0,0,0,0,816.0,9.95
Raymond Felton,80,538,218,191,66,22,46,83,0,0,0,0,794.0,9.93
James Ennis III,64,429,259,64,46,19,51,59,0,0,1,0,635.0,9.92
Tarik Black,67,383,343,39,29,44,1,58,0,0,2,0,664.0,9.91
Anthony Tolliver,65,461,237,77,34,20,90,56,0,0,1,0,642.5,9.88
Jodie Meeks,36,327,77,45,34,4,56,36,0,0,0,0,353.5,9.82
Timofey Mozgov,54,401,264,43,16,31,0,72,0,0,1,0,530.5,9.82
Gerald Henderson,72,662,185,112,40,15,61,62,0,0,0,0,706.5,9.81
Al Jefferson,66,535,278,57,19,16,0,33,0,0,1,0,640.5,9.7
Jeff Green,69,638,214,81,37,13,53,75,0,0,1,0,666.5,9.66
Tyler Ulis,61,444,95,226,48,5,21,77,0,0,6,0,588.5,9.65
Nemanja Bjelica,65,403,244,79,40,20,56,59,0,0,3,0,616.5,9.48
Mike Muscala,70,435,240,95,30,41,46,55,0,0,0,0,662.5,9.46
Rodney McGruder,78,497,256,124,46,18,73,56,0,0,0,0,737.0,9.45
Isaiah Whitehead,73,543,184,192,42,36,44,142,0,0,1,0,684.5,9.38
Sam Dekker,77,504,284,76,38,21,60,41,0,0,0,0,719.0,9.34
Shelvin Mack,55,430,125,154,42,3,37,90,0,0,0,0,512.5,9.32
Joe Harris,52,428,147,54,30,8,85,55,0,0,0,0,478.5,9.2
