Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
E'Twaun Moore,53,633,127,102,40,8,76,59,0,0,0,0,620.5,11.71
Pat Connaughton,61,421,258,122,33,25,66,33,0,0,1,0,707.5,11.6
Mo Bamba,47,292,233,39,13,64,21,43,0,0,1,0,540.5,11.5
Tyreke Evans,69,706,201,166,58,18,77,118,0,0,1,0,793.5,11.5
Patty Mills,82,811,182,245,49,10,159,93,0,0,0,0,937.0,11.43
Alec Burks,64,561,235,128,39,21,61,65,0,0,1,0,730.0,11.41
Ish Smith,56,501,145,203,28,11,44,61,0,0,0,0,637.5,11.38
Miles Bridges,80,597,323,95,55,49,65,50,0,0,1,0,908.0,11.35
Wayne Ellington,53,545,107,72,54,6,138,40,0,0,0,0,600.5,11.33
Rodney Hood,72,805,157,126,59,12,84,55,0,0,0,0,814.5,11.31
Malik Beasley,81,917,200,97,55,10,163,55,0,0,0,0,912.0,11.26
Avery Bradley,63,625,175,152,41,16,86,89,0,0,0,0,707.5,11.23
Jakob Poeltl,77,423,410,93,29,68,0,48,0,0,1,0,861.5,11.19
Mario Hezonja,58,511,239,88,57,8,42,88,0,0,1,1,648.5,11.18
Iman Shumpert,62,465,183,112,59,24,95,50,0,0,0,0,691.0,11.15
Allen Crabbe,43,413,148,46,23,13,98,46,0,0,1,0,476.5,11.08
Robin Lopez,74,704,286,89,11,78,7,96,0,0,2,0,814.5,11.01
John Henson,14,79,71,14,7,11,11,12,0,0,0,0,154.0,11.0
Danuel House Jr.,39,366,140,40,21,11,74,35,0,0,0,0,429.0,11.0
Davis Bertans,76,606,264,100,35,33,145,43,0,0,0,0,832.5,10.95
Trey Burke,58,631,99,159,33,7,56,49,0,0,1,0,633.5,10.92
James Johnson,55,428,176,135,35,27,50,74,0,0,0,0,600.0,10.91
Nerlens Noel,77,378,325,45,66,96,0,48,0,0,2,0,837.0,10.87
Josh Okogie,74,570,218,91,88,33,60,63,0,0,1,0,804.0,10.86
Luke Kornet,46,322,135,54,27,42,70,25,0,0,1,0,499.0,10.85
Ryan Arcidiacono,81,544,219,269,65,4,81,63,0,0,0,0,875.5,10.81
Shaquille Harrison,73,474,222,139,89,30,24,60,0,0,1,0,789.0,10.81
De'Anthony Melton,50,250,134,159,68,23,29,75,0,0,0,0,539.5,10.79
Garrett Temple,75,586,216,106,76,30,90,70,0,0,0,0,802.0,10.69
Luke Kennard,63,613,183,114,26,10,106,57,0,0,0,0,671.5,10.66
Jeremy Lin,74,707,179,231,47,13,55,124,0,0,1,0,788.0,10.65
Shabazz Napier,56,529,100,143,41,16,76,66,0,0,1,0,594.5,10.62
Derrick Jones Jr.,60,422,240,37,46,42,28,43,0,0,0,0,635.0,10.58
Jahlil Okafor,59,484,278,40,15,40,1,52,0,0,6,0,624.5,10.58
Marco Belinelli,79,829,198,132,35,8,147,72,0,0,1,0,833.0,10.54
Jalen Brunson,73,678,169,230,37,4,63,88,0,0,3,0,766.5,10.5
Willy Hernangomez,58,421,311,60,16,20,15,58,0,0,4,0,607.0,10.47
Trey Lyles,64,546,246,87,30,23,51,68,0,0,0,0,669.5,10.46
Ante Zizic,59,459,320,53,13,22,0,61,0,0,4,0,615.5,10.43
Mike Muscala,64,449,244,76,22,38,89,48,0,0,1,0,662.0,10.34
Rodions Kurucs,63,534,246,52,41,25,58,77,0,0,2,0,651.0,10.33
Omari Spellman,46,272,194,47,26,25,44,31,0,0,4,0,474.0,10.3
Allonzo Trier,64,695,197,119,28,14,52,116,0,0,2,0,659.5,10.3
Wilson Chandler,51,305,215,82,25,21,59,46,0,0,0,0,525.0,10.29
T.J. McConnell,76,483,174,258,79,17,14,91,0,0,0,0,781.5,10.28
Rodney McGruder,66,503,238,112,36,12,79,64,0,0,2,0,675.0,10.23
Tony Bradley,3,17,15,1,2,2,0,3,0,0,1,0,30.5,10.17
George Hill,60,458,148,135,52,8,48,51,0,0,0,0,605.0,10.08
Zach Collins,77,512,324,71,25,66,40,77,0,0,0,0,776.0,10.08
Cheick Diallo,64,387,332,33,29,33,1,49,0,0,10,0,644.0,10.06
D.J. Wilson,48,280,222,52,18,20,46,32,0,0,2,0,483.0,10.06
Austin Rivers,76,618,162,167,47,23,104,68,0,0,0,0,762.0,10.03
Darius Miller,69,567,128,146,40,23,133,59,0,0,0,0,691.0,10.01
Ersan Ilyasova,67,453,302,52,32,20,58,48,0,0,3,0,668.5,9.98
Gorgui Dieng,76,485,311,72,48,41,19,57,0,0,2,0,758.0,9.97
Tim Frazier,59,310,168,248,30,5,37,76,0,0,4,0,587.5,9.96
Aron Baynes,51,284,240,57,12,34,21,40,0,0,3,0,504.5,9.89
Frank Kaminsky,47,405,163,63,12,12,50,41,0,0,2,0,462.5,9.84
Shelvin Mack,57,430,104,183,47,4,46,66,0,0,0,0,561.0,9.84
Michael Kidd-Gilchrist,64,427,246,61,32,39,16,43,0,0,1,0,628.5,9.82
Boban Marjanovic,58,422,265,54,16,27,4,59,0,0,6,0,565.0,9.74
Tony Parker,56,530,83,207,21,7,13,75,0,0,1,0,543.5,9.71
Marcin Gortat,47,233,261,65,6,24,0,50,0,0,1,0,453.5,9.65
Devin Robinson,7,47,20,6,4,6,0,2,0,0,0,0,67.5,9.64
Gerald Green,73,675,182,40,33,27,156,55,0,0,0,0,702.5,9.62
Stanley Johnson,66,454,217,88,60,14,62,81,0,0,0,0,630.0,9.55
Christian Wood,21,172,83,8,7,10,9,17,0,0,2,0,200.5,9.55
Lance Stephenson,68,491,215,140,41,7,73,86,0,0,1,0,648.0,9.53
Jonas Jerebko,73,459,288,96,27,18,69,43,0,0,1,0,696.0,9.53
Luol Deng,22,157,73,18,15,8,14,14,0,0,0,0,208.5,9.48
Chandler Parsons,25,187,70,43,19,5,29,32,0,0,0,0,237.0,9.48
Vince Carter,76,562,194,87,44,27,123,48,0,0,0,0,717.5,9.44
Damian Jones,24,130,75,28,12,25,0,16,0,0,0,0,226.0,9.42
Landry Shamet,79,722,134,117,37,10,167,45,0,0,0,0,744.5,9.42
Torrey Craig,75,430,263,72,37,46,61,44,0,0,2,0,704.5,9.39
Harry Giles III,58,408,222,85,31,22,0,73,0,0,0,0,544.0,9.38
Michael Carter-Williams,28,134,70,70,20,15,10,20,0,0,0,0,262.0,9.36
Norman Powell,60,516,139,91,39,13,68,65,0,0,0,0,561.0,9.35
Jamal Crawford,64,508,85,229,33,12,67,99,1,1,0,0,594.5,9.29
James Ennis III,58,389,182,41,41,23,55,34,0,0,0,0,539.0,9.29
David Nwaba,51,334,163,54,36,17,24,29,0,0,0,0,473.0,9.27
Pau Gasol,30,118,137,52,5,15,6,16,0,0,1,0,276.0,9.2
Tyler Zeller,6,46,24,4,1,3,0,4,0,0,0,0,55.0,9.17
Jonah Bolden,44,207,165,40,17,39,34,36,0,0,1,0,402.5,9.15
Jerryd Bayless,34,209,62,119,18,2,29,32,0,0,2,0,310.0,9.12
Jake Layman,71,541,217,53,31,30,59,46,0,0,1,0,647.0,9.11
Langston Galloway,80,672,171,85,37,8,135,24,0,0,0,0,725.5,9.07
Royce O'Neale,82,426,285,124,54,24,68,70,0,0,1,0,743.0,9.06
Malik Monk,73,653,137,117,37,19,109,86,0,0,0,0,661.0,9.05
Andrew Bogut,11,39,55,11,3,8,0,8,0,0,0,0,99.5,9.05
JR Smith,11,74,18,21,11,3,12,11,0,0,0,0,99.0,9.0
Dragan Bender,46,230,183,56,18,22,22,37,0,0,5,0,413.0,8.98
Kyle Korver,70,600,162,81,25,12,138,59,0,0,0,0,627.0,8.96
Juancho Hernangomez,70,408,265,55,27,24,66,37,0,0,4,0,626.0,8.94
Daniel Theis,66,374,225,68,21,42,26,33,0,0,1,0,587.0,8.89
Ivan Rabb,49,284,206,54,17,14,3,35,0,0,4,0,434.5,8.87
OG Anunoby,67,469,197,47,46,22,67,55,0,0,0,0,593.0,8.85
Frank Ntilikina,43,246,87,121,30,14,33,56,0,0,0,0,379.5,8.83
Sam Dekker,47,287,148,46,38,7,19,24,0,0,0,0,413.0,8.79
Dirk Nowitzki,51,373,158,35,9,18,64,18,0,0,1,0,448.5,8.79
Justin Jackson,81,583,212,96,32,14,87,29,0,0,0,0,706.0,8.72
Tyson Chandler,55,173,307,37,21,23,0,42,0,0,3,0,479.5,8.72
Bismack Biyombo,54,236,247,33,11,41,0,34,0,0,3,0,471.0,8.72
Johnathan Williams,24,157,99,13,8,7,0,16,0,0,3,0,207.5,8.65
Sterling Brown,58,372,184,84,25,8,53,46,0,0,0,0,500.5,8.63
Cameron Payne,40,250,72,106,28,9,25,45,0,0,0,0,344.5,8.61
Chandler Hutchison,44,229,185,34,23,6,14,25,0,0,1,0,374.5,8.51
Thon Maker,64,323,202,45,21,51,49,33,0,0,0,0,544.0,8.5
Khem Birch,50,240,190,38,18,29,0,20,0,0,1,0,423.0,8.46
Meyers Leonard,61,357,233,75,13,9,50,43,0,0,2,0,514.5,8.43
Ian Mahinmi,34,139,128,25,25,16,3,21,0,0,1,0,286.0,8.41
Jonathon Simmons,56,366,126,128,29,15,28,68,0,0,0,0,471.0,8.41
Mike Scott,79,459,276,66,26,13,101,44,0,0,0,0,656.0,8.3
Corey Brewer,31,151,76,39,32,7,14,19,0,0,0,0,256.5,8.27
Bonzie Colson,8,39,30,3,5,1,5,3,0,0,2,0,66.0,8.25
Omri Casspi,36,226,115,26,20,9,15,23,0,0,0,0,296.5,8.24
Henry Ellenson,19,114,66,16,7,2,17,9,0,0,0,0,156.5,8.24
Isaiah Canaan,30,181,58,84,14,2,34,35,0,0,0,0,246.5,8.22
